Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Indistinguishable Proteins	Beads_1 Intensity	Beads_1 MaxLFQ Intensity	Beads_1 Spectral Count	Beads_1 Unique Spectral Count	Beads_1 Total Spectral Count	Beads_2 Intensity	Beads_2 MaxLFQ Intensity	Beads_2 Spectral Count	Beads_2 Unique Spectral Count	Beads_2 Total Spectral Count	Beads_3 Intensity	Beads_3 MaxLFQ Intensity	Beads_3 Spectral Count	Beads_3 Unique Spectral Count	Beads_3 Total Spectral Count	NosH_1 Intensity	NosH_1 MaxLFQ Intensity	NosH_1 Spectral Count	NosH_1 Unique Spectral Count	NosH_1 Total Spectral Count	NosH_2 Intensity	NosH_2 MaxLFQ Intensity	NosH_2 Spectral Count	NosH_2 Unique Spectral Count	NosH_2 Total Spectral Count	NosH_3 Intensity	NosH_3 MaxLFQ Intensity	NosH_3 Spectral Count	NosH_3 Unique Spectral Count	NosH_3 Total Spectral Count
A0A068TNJ2	A0A068TNJ2	A0A068TNJ2_COFCA	GSCOC_T00014959001	100	Homo sapiens	1:Experimental evidence at protein level	Ferredoxin	1.0	1.0	1	1	1	1				1	1	1	234831.0	234831.0	1	1	1			1	1	1	234326.0	234326.0	1	1	1	608570.0	608570.0	1	1	1	417070.0	417070.0	1	1	1
A0A068TNQ6;A0A068TVH6;A0A068UAS5;A0A068UJF7;A0A068UKD5;A0A068VL07	A0A068TNQ6;A0A068TVH6;A0A068UAS5;A0A068UJF7;A0A068UKD5;A0A068VL07	A0A068TNQ6_COFCA;A0A068TVH6_COFCA;A0A068UAS5_COFCA;A0A068UJF7_COFCA;A0A068UKD5_COFCA;A0A068VL07_COFCA	GSCOC_T00004241001;GSCOC_T00015028001;GSCOC_T00020403001;GSCOC_T00027164001;GSCOC_T00028168001;GSCOC_T00029825001	100	Homo sapiens	1:Experimental evidence at protein level	Ras-related protein RABD1	1.0	1.0	1	1	1	1		129654.0	129654.0	1	1	1	111997.0	111997.0	1	1	1	198167.0	198167.0	1	1	1	140538.0	140538.0	1	1	1	162102.0	162102.0	1	1	1	94929.3	94929.3	1	1	1
A0A068TNV7;A0A068VNG8	A0A068TNV7;A0A068VNG8	A0A068TNV7_COFCA;A0A068VNG8_COFCA	GSCOC_T00012667001;GSCOC_T00014270001	100	Homo sapiens	1:Experimental evidence at protein level	RRM domain-containing protein	1.0	1.0	1	1	1	1				1	1	1	124480.0	124480.0	1	1	1			1	1	1			1	1	1			1	1	1			1	1	1
A0A068TNZ0	A0A068TNZ0	A0A068TNZ0_COFCA	GSCOC_T00015118001	100	Homo sapiens	1:Experimental evidence at protein level	transketolase	1.0	1.0	1	1	1	1		98557.2	98557.2	1	1	1	96873.2	96873.2	1	1	1	94357.9	94357.9	1	1	1	99925.2	99925.2	1	1	1	131767.0	131767.0	1	1	1	112813.0	112813.0	1	1	1
A0A068TP03	A0A068TP03	A0A068TP03_COFCA	GSCOC_T00015065001	100	Homo sapiens	1:Experimental evidence at protein level	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, chloroplastic	1.0	1.0	1	1	1	1				1	1	1			1	1	1			1	1	1	177945.0	177945.0	1	1	1	269436.0	269436.0	1	1	1	225929.0	225929.0	1	1	1
A0A068TP04	A0A068TP04	A0A068TP04_COFCA	GSCOC_T00014329001	100	Homo sapiens	1:Experimental evidence at protein level	NAD(P)-binding domain-containing protein	1.0	1.0	1	1	1	1		172622.0	172622.0	1	1	1	201980.0	201980.0	1	1	1	173665.0	173665.0	1	1	1	141427.0	141427.0	1	1	1	162638.0	162638.0	1	1	1	137489.0	137489.0	1	1	1
A0A068TP42	A0A068TP42	A0A068TP42_COFCA	GSCOC_T00021691001	100	Homo sapiens	1:Experimental evidence at protein level	Pectinesterase	1.0	1.0	1	1	1	1		179567.0	179567.0	1	1	1	209708.0	209708.0	1	1	1	181344.0	181344.0	1	1	1	127874.0	127874.0	1	1	1	187664.0	187664.0	1	1	1	157868.0	157868.0	1	1	1
A0A068TP42;A0A068TS90;A0A068UBZ9	A0A068TP42;A0A068TS90;A0A068UBZ9	A0A068TP42_COFCA;A0A068TS90_COFCA;A0A068UBZ9_COFCA	GSCOC_T00021077001;GSCOC_T00021691001;GSCOC_T00025767001	100	Homo sapiens	1:Experimental evidence at protein level	Pectinesterase	1.0	1.0	1	1	1	1		543350.0	543350.0	1	1	1	502399.0	502399.0	1	1	1	513885.0	513885.0	1	1	1	175199.0	175199.0	1	1	1			1	1	1			1	1	1
A0A068TP62	A0A068TP62	A0A068TP62_COFCA	GSCOC_T00022020001	100	Homo sapiens	1:Experimental evidence at protein level	Translation machinery associated TMA7	1.0	1.0	1	1	1	1		1173290.0	1173290.0	1	1	1	1226860.0	1226860.0	1	1	1	965426.0	965426.0	1	1	1	777459.0	777459.0	1	1	1	836381.0	836381.0	1	1	1	742725.0	742725.0	1	1	1
A0A068TPF9	A0A068TPF9	A0A068TPF9_COFCA	GSCOC_T00014497001	100	Homo sapiens	1:Experimental evidence at protein level	S-methyl-5-thioribose kinase	1.0	1.0	1	1	1	1		83531.0	83531.0	1	1	1	114433.0	114433.0	1	1	1	85008.8	85008.8	1	1	1	186676.0	186676.0	1	1	1	161678.0	161678.0	1	1	1	242363.0	242363.0	1	1	1
A0A068TPP9;A0A068UWY2	A0A068TPP9;A0A068UWY2	A0A068TPP9_COFCA;A0A068UWY2_COFCA	GSCOC_T00021865001;GSCOC_T00037376001	100	Homo sapiens	1:Experimental evidence at protein level	RNA helicase	1.0	1.0	1	1	1	1		157805.0	157805.0	1	1	1			1	1	1			1	1	1			1	1	1			1	1	1			1	1	1
A0A068TPP9;A0A068UWY2;A0A068V0I4;A0A068V9Y8	A0A068TPP9;A0A068UWY2;A0A068V0I4;A0A068V9Y8	A0A068TPP9_COFCA;A0A068UWY2_COFCA;A0A068V0I4_COFCA;A0A068V9Y8_COFCA	GSCOC_T00009700001;GSCOC_T00021865001;GSCOC_T00037376001;GSCOC_T00040583001	100	Homo sapiens	1:Experimental evidence at protein level	RNA helicase	1.0	1.0	1	1	1	1		859408.0	859408.0	1	1	1	35261.9	35261.9	1	1	1			1	1	1	1501280.0	1501280.0	1	1	1	842213.0	842213.0	1	1	1			1	1	1
A0A068TQ33	A0A068TQ33	A0A068TQ33_COFCA	GSCOC_T00022007001	100	Homo sapiens	1:Experimental evidence at protein level	Ras-related protein Rab7	1.0	1.0	1	1	1	1		436526.0	436526.0	1	1	1	252769.0	252769.0	1	1	1			1	1	1	1078470.0	1078470.0	1	1	1	846033.0	846033.0	1	1	1			1	1	1
A0A068TQ64	A0A068TQ64	A0A068TQ64_COFCA	GSCOC_T00022157001	100	Homo sapiens	1:Experimental evidence at protein level	MBD domain-containing protein	1.0	1.0	1	1	1	1		121326.0	121326.0	1	1	1	125824.0	125824.0	1	1	1	118399.0	118399.0	1	1	1			1	1	1	619808.0	619808.0	1	1	1	229376.0	229376.0	1	1	1
A0A068TQE1	A0A068TQE1	A0A068TQE1_COFCA	GSCOC_T00022681001	100	Homo sapiens	1:Experimental evidence at protein level	Translation elongation factor EF1B beta/delta subunit guanine nucleotide exchange domain-containing protein	1.0	1.0	1	1	1	1		13611.1	13611.1	1	1	1	13008.6	13008.6	1	1	1			1	1	1			1	1	1	28949.2	28949.2	1	1	1			1	1	1
A0A068TQL5	A0A068TQL5	A0A068TQL5_COFCA	GSCOC_T00022197001	100	Homo sapiens	1:Experimental evidence at protein level	CobW/HypB/UreG nucleotide-binding domain-containing protein	1.0	1.0	1	1	1	1		940396.0	940396.0	1	1	1	925507.0	925507.0	1	1	1	833266.0	833266.0	1	1	1	712498.0	712498.0	1	1	1	848267.0	848267.0	1	1	1	681343.0	681343.0	1	1	1
A0A068TQN3	A0A068TQN3	A0A068TQN3_COFCA	GSCOC_T00022789001	100	Homo sapiens	1:Experimental evidence at protein level	NADP-dependent oxidoreductase domain-containing protein	1.0	1.0	1	1	1	1		64163.5	64163.5	1	1	1	61191.8	61191.8	1	1	1	62503.9	62503.9	1	1	1	235540.0	235540.0	1	1	1	269982.0	269982.0	1	1	1	249147.0	249147.0	1	1	1
A0A068TQY9;A0A068TS68	A0A068TQY9;A0A068TS68	A0A068TQY9_COFCA;A0A068TS68_COFCA	GSCOC_T00022824001;GSCOC_T00026124001	100	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein eS1	1.0	1.0	1	1	1	1		39046.2	39046.2	1	1	1	41598.1	41598.1	1	1	1	174126.0	174126.0	1	1	1			1	1	1			1	1	1	33070.2	33070.2	1	1	1
A0A068TR05	A0A068TR05	A0A068TR05_COFCA	GSCOC_T00021698001	100	Homo sapiens	1:Experimental evidence at protein level	Proteasome subunit alpha type	1.0	1.0	1	1	1	1		116143.0	116143.0	1	1	1	156524.0	156524.0	1	1	1	261093.0	261093.0	1	1	1	119311.0	119311.0	1	1	1	36280.4	36280.4	1	1	1			1	1	1
A0A068TR24	A0A068TR24	A0A068TR24_COFCA	GSCOC_T00025650001	100	Homo sapiens	1:Experimental evidence at protein level	Galactokinase N-terminal domain-containing protein	1.0	1.0	1	1	1	1		61886.8	61886.8	1	1	1	47866.1	47866.1	1	1	1	35975.2	35975.2	1	1	1	42232.5	42232.5	1	1	1	42829.2	42829.2	1	1	1	44066.2	44066.2	1	1	1
A0A068TR97	A0A068TR97	A0A068TR97_COFCA	GSCOC_T00021832001	100	Homo sapiens	1:Experimental evidence at protein level	Uncharacterized protein	1.0	1.0	1	1	1	1		34081.6	34081.6	1	1	1	56025.1	56025.1	1	1	1	82216.7	82216.7	1	1	1			1	1	1			1	1	1			1	1	1
A0A068TRC3	A0A068TRC3	A0A068TRC3_COFCA	GSCOC_T00025805001	100	Homo sapiens	1:Experimental evidence at protein level	TCTP domain-containing protein	1.0	1.0	1	1	1	1				1	1	1	619609.0	619609.0	1	1	1			1	1	1	57472.9	57472.9	1	1	1	68381.7	68381.7	1	1	1			1	1	1
A0A068TRC3;A0A068V9P5	A0A068TRC3;A0A068V9P5	A0A068TRC3_COFCA;A0A068V9P5_COFCA	GSCOC_T00000655001;GSCOC_T00025805001	100	Homo sapiens	1:Experimental evidence at protein level	TCTP domain-containing protein	1.0	1.0	1	1	1	1		391082.0	391082.0	1	1	1	398878.0	398878.0	1	1	1	362671.0	362671.0	1	1	1	2041000.0	2041000.0	1	1	1	1981270.0	1981270.0	1	1	1	2074320.0	2074320.0	1	1	1
A0A068TRG8	A0A068TRG8	A0A068TRG8_COFCA	GSCOC_T00025870001	100	Homo sapiens	1:Experimental evidence at protein level	CASP-like protein	1.0	1.0	1	1	1	1		15222.3	15222.3	1	1	1	19392.6	19392.6	1	1	1			1	1	1	27080.1	27080.1	1	1	1	27564.8	27564.8	1	1	1	22219.2	22219.2	1	1	1
A0A068TRR7;A0A068UMJ8	A0A068TRR7;A0A068UMJ8	A0A068TRR7_COFCA;A0A068UMJ8_COFCA	GSCOC_T00022802001;GSCOC_T00030078001	100	Homo sapiens	1:Experimental evidence at protein level	EF-hand domain-containing protein	1.0	1.0	1	1	1	1		466306.0	466306.0	1	1	1	242841.0	242841.0	1	1	1	414641.0	414641.0	1	1	1	451757.0	451757.0	1	1	1	943489.0	943489.0	1	1	1	539199.0	539199.0	1	1	1
A0A068TRU3	A0A068TRU3	A0A068TRU3_COFCA	GSCOC_T00025975001	100	Homo sapiens	1:Experimental evidence at protein level	Dienelactone hydrolase domain-containing protein	1.0	1.0	1	1	1	1		323751.0	323751.0	1	1	1	298126.0	298126.0	1	1	1	306706.0	306706.0	1	1	1	2089900.0	2089900.0	1	1	1	2440510.0	2440510.0	1	1	1	2256150.0	2256150.0	1	1	1
A0A068TRX2;A0A068U503;A0A068U5X3;A0A068U7I1;A0A068U7Z2;A0A068UBG6;A0A068V591	A0A068TRX2;A0A068U503;A0A068U5X3;A0A068U7I1;A0A068U7Z2;A0A068UBG6;A0A068V591	A0A068TRX2_COFCA;A0A068U503_COFCA;A0A068U5X3_COFCA;A0A068U7I1_COFCA;A0A068U7Z2_COFCA;A0A068UBG6_COFCA;A0A068V591_COFCA	GSCOC_T00015982001;GSCOC_T00015983001;GSCOC_T00016130001;GSCOC_T00016696001;GSCOC_T00021102001;GSCOC_T00022094001;GSCOC_T00041970001	100	Homo sapiens	1:Experimental evidence at protein level	Histone H2A	1.0	1.0	1	1	1	1		2595960.0	2595960.0	1	1	1	4014040.0	4014040.0	1	1	1	3689070.0	3689070.0	1	1	1	6437330.0	6437330.0	1	1	1	3691350.0	3691350.0	1	1	1	4861970.0	4861970.0	1	1	1
A0A068TRX2;A0A068U503;A0A068U7Z2	A0A068TRX2;A0A068U503;A0A068U7Z2	A0A068TRX2_COFCA;A0A068U503_COFCA;A0A068U7Z2_COFCA	GSCOC_T00016130001;GSCOC_T00022094001;GSCOC_T00041970001	100	Homo sapiens	1:Experimental evidence at protein level	Histone H2A	1.0	1.0	1	1	1	1		4056700.0	4056700.0	1	1	1	989387.0	989387.0	1	1	1	1030240.0	1030240.0	1	1	1	2320110.0	2320110.0	1	1	1	1149530.0	1149530.0	1	1	1	1231880.0	1231880.0	1	1	1
A0A068TRZ8	A0A068TRZ8	A0A068TRZ8_COFCA	GSCOC_T00022121001	100	Homo sapiens	1:Experimental evidence at protein level	Uncharacterized protein	1.0	1.0	1	1	1	1		229652.0	229652.0	1	1	1	235341.0	235341.0	1	1	1	185064.0	185064.0	1	1	1	193344.0	193344.0	1	1	1	236778.0	236778.0	1	1	1	215394.0	215394.0	1	1	1
A0A068TS20	A0A068TS20	A0A068TS20_COFCA	GSCOC_T00025624001	100	Homo sapiens	1:Experimental evidence at protein level	Dihydrolipoyl dehydrogenase	1.0	1.0	1	1	1	1		1544000.0	1544000.0	1	1	1	1480400.0	1480400.0	1	1	1	1384730.0	1384730.0	1	1	1	1211980.0	1211980.0	1	1	1	1286680.0	1286680.0	1	1	1	1355360.0	1355360.0	1	1	1
A0A068TS33	A0A068TS33	A0A068TS33_COFCA	GSCOC_T00025649001	100	Homo sapiens	1:Experimental evidence at protein level	GHMP kinase C-terminal domain-containing protein	1.0	1.0	1	1	1	1		85755.9	85755.9	1	1	1	55887.3	55887.3	1	1	1	9546.43	9546.43	1	1	1	7800.14	7800.14	1	1	1			1	1	1			1	1	1
A0A068TS96	A0A068TS96	A0A068TS96_COFCA	GSCOC_T00022196001	100	Homo sapiens	1:Experimental evidence at protein level	CobW C-terminal domain-containing protein	1.0	1.0	1	1	1	1		1036580.0	1036580.0	1	1	1	569525.0	569525.0	1	1	1	491430.0	491430.0	1	1	1	531665.0	531665.0	1	1	1	508202.0	508202.0	1	1	1	308783.0	308783.0	1	1	1
A0A068TSG8	A0A068TSG8	A0A068TSG8_COFCA	GSCOC_T00025887001	100	Homo sapiens	1:Experimental evidence at protein level	Acyl carrier protein	1.0	1.0	1	1	1	1		163593.0	163593.0	1	1	1	158794.0	158794.0	1	1	1	185293.0	185293.0	1	1	1	1817310.0	1817310.0	1	1	1	1987390.0	1987390.0	1	1	1	1944370.0	1944370.0	1	1	1
A0A068TSH0	A0A068TSH0	A0A068TSH0_COFCA	GSCOC_T00026002001	100	Homo sapiens	1:Experimental evidence at protein level	DUF3700 domain-containing protein	1.0	1.0	1	1	1	1		186382.0	186382.0	1	1	1	156237.0	156237.0	1	1	1			1	1	1			1	1	1			1	1	1			1	1	1
A0A068TSH0;A0A068V9H4	A0A068TSH0;A0A068V9H4	A0A068TSH0_COFCA;A0A068V9H4_COFCA	GSCOC_T00010663001;GSCOC_T00026002001	100	Homo sapiens	1:Experimental evidence at protein level	DUF3700 domain-containing protein	1.0	1.0	1	1	1	1		142047.0	142047.0	1	1	1	115803.0	115803.0	1	1	1	116205.0	116205.0	1	1	1	114654.0	114654.0	1	1	1	99010.0	99010.0	1	1	1	115457.0	115457.0	1	1	1
A0A068TSJ9	A0A068TSJ9	A0A068TSJ9_COFCA	GSCOC_T00025940001	100	Homo sapiens	1:Experimental evidence at protein level	Pyruvate, phosphate dikinase, chloroplastic	1.0	1.0	1	1	1	1		52044.3	52044.3	1	1	1	44194.5	44194.5	1	1	1	15982.2	15982.2	1	1	1			1	1	1			1	1	1	83809.1	83809.1	1	1	1
A0A068TSL4	A0A068TSL4	A0A068TSL4_COFCA	GSCOC_T00026268001	100	Homo sapiens	1:Experimental evidence at protein level	Fe2OG dioxygenase domain-containing protein	1.0	1.0	1	1	1	1		290240.0	290240.0	1	1	1	247261.0	247261.0	1	1	1	253051.0	253051.0	1	1	1	259436.0	259436.0	1	1	1	316030.0	316030.0	1	1	1	266954.0	266954.0	1	1	1
A0A068TSM4	A0A068TSM4	A0A068TSM4_COFCA	GSCOC_T00026061001	100	Homo sapiens	1:Experimental evidence at protein level	Amine oxidase	1.0	1.0	1	1	1	1		13567500.0	13567500.0	1	1	1	15410100.0	15410100.0	1	1	1	14703200.0	14703200.0	1	1	1	8257100.0	8257100.0	1	1	1	8877840.0	8877840.0	1	1	1	10198100.0	10198100.0	1	1	1
A0A068TSM4;A0A068TUM3	A0A068TSM4;A0A068TUM3	A0A068TSM4_COFCA;A0A068TUM3_COFCA	GSCOC_T00026061001;GSCOC_T00026062001	100	Homo sapiens	1:Experimental evidence at protein level	Amine oxidase	1.0	1.0	1	1	1	1		4885140.0	4885140.0	1	1	1	4367270.0	4367270.0	1	1	1	3675310.0	3675310.0	1	1	1	3022290.0	3022290.0	1	1	1	3411330.0	3411330.0	1	1	1	3029890.0	3029890.0	1	1	1
A0A068TTF5	A0A068TTF5	A0A068TTF5_COFCA	GSCOC_T00022781001	100	Homo sapiens	1:Experimental evidence at protein level	D-cysteine desulfhydrase	1.0	1.0	1	1	1	1		345845.0	345845.0	1	1	1	342096.0	342096.0	1	1	1	339170.0	339170.0	1	1	1			1	1	1			1	1	1			1	1	1
A0A068TTH4	A0A068TTH4	A0A068TTH4_COFCA	GSCOC_T00026310001	100	Homo sapiens	1:Experimental evidence at protein level	Malate dehydrogenase	1.0	1.0	1	1	1	1		339366.0	339366.0	1	1	1	318651.0	318651.0	1	1	1	315180.0	315180.0	1	1	1	1666630.0	1666630.0	1	1	1	1800140.0	1800140.0	1	1	1	2319200.0	2319200.0	1	1	1
A0A068TTH4;A0A068UM00	A0A068TTH4;A0A068UM00	A0A068TTH4_COFCA;A0A068UM00_COFCA	GSCOC_T00026310001;GSCOC_T00028876001	100	Homo sapiens	1:Experimental evidence at protein level	Malate dehydrogenase	1.0	1.0	1	1	1	1		288254.0	288254.0	1	1	1	438632.0	438632.0	1	1	1	290718.0	290718.0	1	1	1	1741430.0	1741430.0	1	1	1	1554710.0	1554710.0	1	1	1	1481050.0	1481050.0	1	1	1
A0A068TTJ3	A0A068TTJ3	A0A068TTJ3_COFCA	GSCOC_T00029211001	100	Homo sapiens	1:Experimental evidence at protein level	AB hydrolase-1 domain-containing protein	1.0	1.0	1	1	1	1		164585.0	164585.0	1	1	1			1	1	1	54558.3	54558.3	1	1	1			1	1	1			1	1	1			1	1	1
A0A068TTN6	A0A068TTN6	A0A068TTN6_COFCA	GSCOC_T00029262001	100	Homo sapiens	1:Experimental evidence at protein level	Aspergillus nuclease S1	1.0	1.0	1	1	1	1		246188.0	246188.0	1	1	1	251589.0	251589.0	1	1	1	215554.0	215554.0	1	1	1	403102.0	403102.0	1	1	1	457221.0	457221.0	1	1	1	372405.0	372405.0	1	1	1
A0A068TTQ9	A0A068TTQ9	A0A068TTQ9_COFCA	GSCOC_T00026616001	100	Homo sapiens	1:Experimental evidence at protein level	Low-temperature-induced 65 kDa protein	1.0	1.0	1	1	1	1		276898.0	276898.0	1	1	1	228039.0	228039.0	1	1	1	211923.0	211923.0	1	1	1	178489.0	178489.0	1	1	1	193576.0	193576.0	1	1	1	143976.0	143976.0	1	1	1
A0A068TTV8	A0A068TTV8	A0A068TTV8_COFCA	GSCOC_T00029373001	100	Homo sapiens	1:Experimental evidence at protein level	16 kDa subunit of oxygen evolving system of photosystem II	1.0	1.0	1	1	1	1		932112.0	932112.0	1	1	1	961590.0	961590.0	1	1	1	981591.0	981591.0	1	1	1	2256550.0	2256550.0	1	1	1	2583990.0	2583990.0	1	1	1	2458370.0	2458370.0	1	1	1
A0A068TU09	A0A068TU09	A0A068TU09_COFCA	GSCOC_T00029374001	100	Homo sapiens	1:Experimental evidence at protein level	Thioredoxin domain-containing protein	1.0	1.0	1	1	1	1				1	1	1			1	1	1			1	1	1	61026.5	61026.5	1	1	1	144118.0	144118.0	1	1	1	63619.3	63619.3	1	1	1
A0A068TU74;A0A068TUX2;A0A068VGG1	A0A068TU74;A0A068TUX2;A0A068VGG1	A0A068TU74_COFCA;A0A068TUX2_COFCA;A0A068VGG1_COFCA	GSCOC_T00007148001;GSCOC_T00029533001;GSCOC_T00029536001	100	Homo sapiens	1:Experimental evidence at protein level	Nucleoside phosphorylase domain-containing protein	1.0	1.0	1	1	1	1		507013.0	507013.0	1	1	1	527723.0	527723.0	1	1	1	458643.0	458643.0	1	1	1	524819.0	524819.0	1	1	1	623859.0	623859.0	1	1	1	503946.0	503946.0	1	1	1
A0A068TU76	A0A068TU76	A0A068TU76_COFCA	GSCOC_T00029130001	100	Homo sapiens	1:Experimental evidence at protein level	Uncharacterized protein	1.0	1.0	1	1	1	1		462800.0	462800.0	1	1	1	325156.0	325156.0	1	1	1	307718.0	307718.0	1	1	1	155694.0	155694.0	1	1	1	231156.0	231156.0	1	1	1	189976.0	189976.0	1	1	1
A0A068TUJ4	A0A068TUJ4	A0A068TUJ4_COFCA	GSCOC_T00029276001	100	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit J	1.0	1.0	1	1	1	1		674058.0	674058.0	1	1	1	586142.0	586142.0	1	1	1	688783.0	688783.0	1	1	1	421458.0	421458.0	1	1	1	446000.0	446000.0	1	1	1	448692.0	448692.0	1	1	1
A0A068TUP2	A0A068TUP2	A0A068TUP2_COFCA	GSCOC_T00026083001	100	Homo sapiens	1:Experimental evidence at protein level	Cysteine synthase	1.0	1.0	1	1	1	1				1	1	1			1	1	1			1	1	1	110962.0	110962.0	1	1	1	133879.0	133879.0	1	1	1	123465.0	123465.0	1	1	1
A0A068TUT7	A0A068TUT7	A0A068TUT7_COFCA	GSCOC_T00029483001	100	Homo sapiens	1:Experimental evidence at protein level	Carboxypeptidase	1.0	1.0	1	1	1	1		1218900.0	1218900.0	1	1	1	629058.0	629058.0	1	1	1	561140.0	561140.0	1	1	1	2163880.0	2163880.0	1	1	1	2056340.0	2056340.0	1	1	1	1367580.0	1367580.0	1	1	1
